iter	Passed	Remaining
0	379	379124
1	383	191470
2	387	128760
3	391	97584
4	395	78788
5	400	66315
6	404	57431
7	409	50788
8	414	45595
9	418	41429
10	422	37993
11	427	35233
12	432	32829
13	436	30709
14	440	28934
15	445	27392
16	449	25979
17	454	24798
18	459	23715
19	463	22715
20	467	21799
21	471	20980
22	476	20236
23	480	19534
24	485	18920
25	490	18365
26	494	17812
27	500	17371
28	504	16901
29	507	16399
30	509	15933
31	512	15500
32	514	15077
33	516	14670
34	518	14286
35	519	13924
36	521	13582
37	523	13261
38	526	12968
39	528	12685
40	530	12407
41	532	12140
42	534	11885
43	535	11642
44	537	11415
45	539	11193
46	541	10978
47	543	10770
48	544	10571
49	546	10387
50	548	10212
51	550	10044
52	553	9891
53	556	9741
54	557	9584
55	559	9439
56	561	9295
57	563	9158
58	566	9033
59	568	8905
60	570	8778
61	572	8656
62	574	8544
63	576	8432
64	579	8329
65	581	8222
66	583	8118
67	585	8018
68	588	7936
69	590	7843
70	592	7748
71	593	7655
72	596	7568
73	598	7487
74	600	7401
75	602	7323
76	603	7239
77	605	7154
78	606	7075
79	608	6998
80	610	6922
81	612	6852
82	613	6772
83	614	6700
84	616	6634
85	618	6570
86	620	6506
87	621	6446
88	623	6386
89	626	6337
90	628	6278
91	630	6220
92	632	6164
93	633	6108
94	635	6054
95	637	6000
96	638	5948
97	640	5898
98	642	5848
99	644	5800
100	646	5752
101	648	5705
102	649	5658
103	651	5613
104	653	5568
105	655	5525
106	657	5483
107	659	5445
108	661	5405
109	663	5366
110	665	5327
111	666	5287
112	668	5249
113	670	5214
114	672	5179
115	674	5141
116	676	5102
117	678	5067
118	679	5033
119	681	4998
120	683	4964
121	684	4929
122	686	4897
123	688	4862
124	690	4830
125	691	4798
126	693	4765
127	694	4734
128	696	4705
129	698	4675
130	700	4647
131	702	4618
132	703	4587
133	705	4556
134	706	4526
135	708	4498
136	709	4471
137	711	4444
138	713	4417
139	715	4397
140	717	4371
141	718	4343
142	720	4318
143	722	4294
144	724	4270
145	725	4245
146	727	4223
147	729	4199
148	731	4175
149	732	4152
150	734	4130
151	736	4111
152	738	4089
153	740	4066
154	741	4044
155	743	4023
156	745	4002
157	747	3981
158	748	3961
159	750	3942
160	752	3920
161	754	3900
162	755	3881
163	757	3861
164	759	3842
165	761	3823
166	762	3805
167	764	3787
168	766	3770
169	768	3753
170	770	3737
171	772	3719
172	774	3701
173	776	3684
174	778	3667
175	779	3650
176	781	3633
177	783	3617
178	785	3601
179	786	3585
180	788	3568
181	790	3551
182	792	3536
